Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,TotRmsAbvGrd,FireplaceQu,ScreenPorch,YrSold,SalePrice
25,20,RL,NA,8246,NA,IR1,188,204,1060,GasA,Y,SBrkr,6,TA,0,2010,154000
26,20,RL,110,14230,NA,Reg,0,1566,1566,GasA,Y,SBrkr,7,Gd,0,2009,256300
27,20,RL,60,7200,NA,Reg,234,180,900,GasA,Y,SBrkr,5,NA,0,2010,134800
28,20,RL,98,11478,NA,Reg,1218,486,1704,GasA,Y,SBrkr,7,Gd,0,2010,306000
29,20,RL,47,16321,NA,IR1,1277,207,1484,GasA,Y,SBrkr,6,Gd,0,2006,207500
30,30,RM,60,6324,NA,IR1,0,520,520,GasA,N,SBrkr,4,NA,0,2008,68500
31,70,C (all),50,8500,Pave,Reg,0,649,649,GasA,N,SBrkr,6,NA,0,2008,40000
32,20,RL,NA,8544,NA,IR1,0,1228,1228,GasA,Y,SBrkr,6,NA,0,2008,149350
33,20,RL,85,11049,NA,Reg,0,1234,1234,GasA,Y,SBrkr,7,NA,0,2008,179900
34,20,RL,70,10552,NA,IR1,1018,380,1398,GasA,Y,SBrkr,6,Gd,0,2010,165500
35,120,RL,60,7313,NA,Reg,1153,408,1561,GasA,Y,SBrkr,6,Gd,0,2007,277500
36,60,RL,108,13418,NA,Reg,0,1117,1117,GasA,Y,SBrkr,9,Gd,0,2006,309000
37,20,RL,112,10859,NA,Reg,0,1097,1097,GasA,Y,SBrkr,6,NA,0,2009,145000
38,20,RL,74,8532,NA,Reg,1213,84,1297,GasA,Y,SBrkr,5,TA,0,2009,153000
39,20,RL,68,7922,NA,Reg,731,326,1057,GasA,Y,SBrkr,5,NA,0,2010,109000
40,90,RL,65,6040,NA,Reg,0,0,0,GasA,N,FuseP,6,NA,0,2008,82000
41,20,RL,84,8658,NA,Reg,643,445,1088,GasA,Y,SBrkr,6,TA,0,2006,160000
42,20,RL,115,16905,NA,Reg,967,383,1350,GasA,Y,SBrkr,5,Gd,0,2007,170000
43,85,RL,NA,9180,NA,IR1,747,0,840,GasA,Y,SBrkr,5,NA,0,2007,144000
44,20,RL,NA,9200,NA,IR1,280,167,938,GasA,Y,SBrkr,5,NA,0,2008,130250
45,20,RL,70,7945,NA,Reg,179,465,1150,GasA,Y,FuseA,6,NA,0,2006,141000
46,120,RL,61,7658,NA,Reg,456,1296,1752,GasA,Y,SBrkr,6,Gd,0,2010,319900
47,50,RL,48,12822,NA,IR1,1351,83,1434,GasA,Y,SBrkr,6,Ex,198,2009,239686
48,20,FV,84,11096,NA,Reg,24,1632,1656,GasA,Y,SBrkr,7,NA,0,2007,249700
49,190,RM,33,4456,NA,Reg,0,736,736,GasA,Y,SBrkr,8,NA,0,2009,113000
50,20,RL,66,7742,NA,Reg,763,192,955,GasA,Y,SBrkr,6,NA,0,2007,127000
51,60,RL,NA,13869,NA,IR2,182,612,794,GasA,Y,SBrkr,6,NA,0,2007,177000
52,50,RM,52,6240,NA,Reg,0,816,816,GasA,Y,SBrkr,6,Gd,0,2006,114500
53,90,RM,110,8472,NA,IR2,104,0,816,GasA,N,SBrkr,5,NA,0,2010,110000
54,20,RL,68,50271,NA,IR1,1810,32,1842,GasA,Y,SBrkr,5,Gd,0,2006,385000
55,80,RL,60,7134,NA,Reg,384,0,384,GasA,Y,SBrkr,6,TA,0,2007,130000
56,20,RL,100,10175,NA,IR1,490,935,1425,GasA,Y,SBrkr,7,Gd,0,2008,180500
57,160,FV,24,2645,Pave,Reg,649,321,970,GasA,Y,SBrkr,7,NA,0,2009,172500
58,60,RL,89,11645,NA,IR1,0,860,860,GasA,Y,SBrkr,7,NA,0,2006,196500
59,60,RL,66,13682,NA,IR2,0,1410,1410,GasA,Y,SBrkr,10,Gd,0,2006,438780
60,20,RL,60,7200,NA,Reg,632,148,780,GasA,Y,SBrkr,4,NA,0,2008,124900
61,20,RL,63,13072,NA,Reg,941,217,1158,GasA,Y,SBrkr,5,NA,0,2006,158000
62,75,RM,60,7200,NA,Reg,0,530,530,GasA,N,SBrkr,6,NA,0,2007,101000
63,120,RL,44,6442,NA,IR1,24,1346,1370,GasA,Y,SBrkr,6,Gd,0,2007,202500
64,70,RM,50,10300,NA,IR1,0,576,576,GasA,Y,SBrkr,9,NA,0,2010,140000
65,60,RL,NA,9375,NA,Reg,739,318,1057,GasA,Y,SBrkr,8,NA,0,2009,219500
66,60,RL,76,9591,NA,Reg,0,1143,1143,GasA,Y,SBrkr,9,Gd,0,2007,317000
67,20,RL,NA,19900,NA,Reg,912,1035,1947,GasA,Y,SBrkr,7,Gd,0,2010,180000
68,20,RL,72,10665,NA,IR1,1013,440,1453,GasA,Y,SBrkr,7,NA,0,2007,226000
69,30,RM,47,4608,NA,Reg,0,747,747,GasA,Y,SBrkr,4,NA,0,2010,80000
70,50,RL,81,15593,NA,Reg,603,701,1304,GasW,Y,SBrkr,7,TA,0,2006,225000
71,20,RL,95,13651,NA,IR1,1880,343,2223,GasA,Y,SBrkr,8,Gd,0,2007,244000
72,20,RL,69,7599,NA,Reg,565,280,845,GasA,Y,SBrkr,4,NA,0,2007,129500
73,60,RL,74,10141,NA,IR1,0,832,832,GasA,Y,SBrkr,7,TA,291,2009,185000
74,20,RL,85,10200,NA,Reg,320,404,1086,GasA,Y,SBrkr,6,NA,0,2010,144900
75,50,RM,60,5790,NA,Reg,0,840,840,GasA,N,SBrkr,8,NA,0,2010,107400
76,180,RM,21,1596,NA,Reg,462,0,462,GasA,Y,SBrkr,5,NA,0,2009,91000
77,20,RL,NA,8475,NA,IR1,228,724,952,GasA,Y,FuseA,4,NA,0,2008,135750
78,50,RM,50,8635,NA,Reg,336,295,672,GasA,Y,SBrkr,6,NA,0,2008,127000
79,90,RL,72,10778,NA,Reg,0,1768,1768,GasA,N,SBrkr,8,NA,0,2010,136500
80,50,RM,60,10440,Grvl,Reg,0,440,440,GasA,Y,SBrkr,5,NA,0,2009,110000
81,60,RL,100,13000,NA,Reg,448,448,896,GasA,Y,SBrkr,8,Gd,252,2009,193500
82,120,RM,32,4500,NA,Reg,1201,36,1237,GasA,Y,SBrkr,5,NA,0,2006,153500
83,20,RL,78,10206,NA,Reg,33,1530,1563,GasA,Y,SBrkr,6,Gd,0,2008,245000
84,20,RL,80,8892,NA,IR1,0,1065,1065,GasA,Y,SBrkr,6,NA,0,2007,126500
85,80,RL,NA,8530,NA,IR1,0,384,384,GasA,Y,SBrkr,7,TA,0,2009,168500
86,60,RL,121,16059,NA,Reg,0,1288,1288,GasA,Y,SBrkr,9,TA,0,2006,260000
87,60,RL,122,11911,NA,IR2,0,684,684,GasA,Y,SBrkr,6,Gd,0,2009,174000
88,160,FV,40,3951,Pave,Reg,0,612,612,GasA,Y,SBrkr,4,NA,0,2009,164500
89,50,C (all),105,8470,NA,IR1,0,1013,1013,GasA,N,SBrkr,6,NA,0,2009,85000
90,20,RL,60,8070,NA,Reg,588,402,990,GasA,Y,SBrkr,5,NA,0,2007,123600
91,20,RL,60,7200,NA,Reg,0,0,0,GasA,Y,FuseA,4,NA,0,2006,109900
92,20,RL,85,8500,NA,Reg,600,635,1235,GasA,Y,SBrkr,6,NA,0,2006,98600
93,30,RL,80,13360,Grvl,IR1,713,163,876,GasA,Y,SBrkr,5,NA,0,2009,163500
94,190,C (all),60,7200,NA,Reg,1046,168,1214,GasW,N,SBrkr,9,Gd,99,2007,133900
95,60,RL,69,9337,NA,IR1,648,176,824,GasA,Y,SBrkr,7,NA,0,2007,204750
96,60,RL,NA,9765,NA,IR2,310,370,680,GasA,Y,SBrkr,6,TA,0,2009,185000
97,20,RL,78,10264,NA,IR1,1162,426,1588,GasA,Y,SBrkr,6,NA,0,2006,214000
98,20,RL,73,10921,NA,Reg,520,440,960,GasA,Y,FuseF,6,NA,0,2007,94750
99,30,RL,85,10625,NA,Reg,108,350,458,GasA,N,SBrkr,5,NA,0,2010,83000
100,20,RL,77,9320,NA,IR1,569,381,950,GasA,Y,SBrkr,6,NA,0,2010,128950
101,20,RL,NA,10603,NA,IR1,1200,410,1610,GasA,Y,SBrkr,6,TA,0,2010,205000
102,60,RL,77,9206,NA,Reg,0,741,741,GasA,Y,SBrkr,7,TA,0,2010,178000
103,90,RL,64,7018,NA,Reg,0,0,0,GasA,Y,SBrkr,8,NA,0,2009,118964
104,20,RL,94,10402,NA,IR1,0,1226,1226,GasA,Y,SBrkr,6,NA,0,2010,198900
105,50,RM,NA,7758,NA,Reg,224,816,1040,GasA,Y,FuseF,7,TA,184,2007,169500
106,60,FV,75,9375,NA,Reg,0,1053,1053,GasA,Y,SBrkr,9,Gd,0,2008,250000
107,30,RM,60,10800,Grvl,Reg,0,641,641,GasA,Y,SBrkr,6,NA,0,2007,100000
108,20,RM,50,6000,NA,Reg,104,516,789,GasA,Y,SBrkr,5,NA,0,2008,115000
109,50,RM,85,8500,NA,Reg,0,793,793,GasW,N,FuseF,7,NA,0,2007,115000
110,20,RL,105,11751,NA,IR1,705,1139,1844,GasA,Y,SBrkr,7,TA,0,2010,190000
111,50,RL,75,9525,NA,Reg,444,550,994,GasA,Y,SBrkr,7,NA,0,2006,136900
112,80,RL,NA,7750,NA,IR1,250,134,384,GasA,Y,SBrkr,7,TA,0,2010,180000
113,60,RL,77,9965,NA,Reg,984,280,1264,GasA,Y,SBrkr,10,Gd,168,2007,383970
114,20,RL,NA,21000,NA,Reg,35,905,1809,GasA,Y,SBrkr,7,Gd,0,2007,217000
115,70,RL,61,7259,NA,IR1,774,104,1028,GasA,Y,SBrkr,9,TA,0,2007,259500
116,160,FV,34,3230,Pave,Reg,419,310,729,GasA,Y,SBrkr,5,Fa,0,2007,176000
117,20,RL,NA,11616,NA,Reg,170,252,1092,GasA,Y,SBrkr,6,Po,0,2009,139000
118,20,RL,74,8536,NA,Reg,0,1125,1125,GasA,Y,SBrkr,5,NA,0,2007,155000
119,60,RL,90,12376,NA,Reg,1470,203,1673,GasA,Y,SBrkr,11,TA,0,2010,320000
120,60,RL,65,8461,NA,Reg,0,728,728,GasA,Y,SBrkr,8,Gd,0,2006,163990
121,80,RL,NA,21453,NA,IR1,938,0,938,GasA,Y,SBrkr,4,TA,0,2006,180000
122,50,RM,50,6060,NA,Reg,0,732,732,GasA,Y,SBrkr,4,NA,0,2007,100000
123,20,RL,75,9464,NA,Reg,570,510,1080,GasA,Y,SBrkr,5,NA,130,2008,136000
124,120,RL,55,7892,NA,Reg,300,899,1199,GasA,Y,SBrkr,5,NA,0,2008,153900
125,20,RL,48,17043,NA,IR1,0,1362,1362,GasA,Y,SBrkr,7,TA,0,2009,181000
126,190,RM,60,6780,NA,Reg,490,30,520,GasA,N,SBrkr,5,NA,0,2006,84500
127,120,RL,NA,4928,NA,IR1,120,958,1078,GasA,Y,SBrkr,5,TA,0,2007,128000
128,45,RM,55,4388,NA,IR1,116,556,672,GasA,Y,SBrkr,5,TA,0,2007,87000
129,60,RL,69,7590,NA,Reg,512,148,660,GasA,Y,SBrkr,6,Fa,0,2006,155000
130,20,RL,69,8973,NA,Reg,567,413,1008,GasA,Y,FuseA,6,NA,0,2006,150000
131,60,RL,88,14200,NA,Reg,445,479,924,GasA,Y,SBrkr,8,Gd,0,2006,226000
132,60,RL,NA,12224,NA,IR1,695,297,992,GasA,Y,SBrkr,7,TA,0,2009,244000
133,20,RL,75,7388,NA,Reg,405,658,1063,GasA,Y,SBrkr,7,NA,0,2007,150750
134,20,RL,NA,6853,NA,IR1,1005,262,1267,GasA,Y,SBrkr,6,NA,0,2009,220000
135,20,RL,78,10335,NA,IR1,570,891,1461,GasA,Y,SBrkr,7,TA,0,2006,180000
136,20,RL,80,10400,NA,Reg,0,1304,1304,GasA,Y,SBrkr,7,Gd,0,2008,174000
137,20,RL,NA,10355,NA,IR1,695,519,1214,GasA,Y,SBrkr,5,Fa,0,2007,143000
138,90,RL,82,11070,NA,Reg,0,1907,1907,GasA,Y,SBrkr,9,NA,0,2006,171000
139,60,RL,73,9066,NA,IR1,668,336,1004,GasA,Y,SBrkr,7,TA,0,2008,230000
140,60,RL,65,15426,NA,IR1,821,107,928,GasA,Y,SBrkr,7,NA,0,2009,231500
141,20,RL,70,10500,NA,Reg,432,432,864,GasA,Y,SBrkr,5,Po,0,2010,115000
142,20,RL,78,11645,NA,Reg,1300,434,1734,GasA,Y,SBrkr,7,NA,0,2006,260000
143,50,RL,71,8520,NA,Reg,507,403,910,GasA,Y,SBrkr,6,NA,0,2010,166000
144,20,RL,78,10335,NA,IR1,679,811,1490,GasA,Y,SBrkr,6,NA,0,2009,204000
145,90,RM,70,9100,NA,Reg,1332,396,1728,GasA,Y,SBrkr,10,NA,0,2006,125000
146,160,RM,24,2522,NA,Reg,0,970,970,GasA,Y,SBrkr,7,NA,0,2006,130000
147,30,RM,51,6120,NA,Reg,209,506,715,GasA,Y,FuseA,5,NA,0,2009,105000
148,60,RL,NA,9505,NA,IR1,0,884,884,GasA,Y,SBrkr,8,Gd,0,2010,222500
149,20,RL,63,7500,NA,Reg,680,400,1080,GasA,Y,SBrkr,6,NA,0,2008,141000
150,50,RM,NA,6240,NA,Reg,0,896,896,GasA,Y,FuseA,7,NA,0,2006,115000
151,20,RL,120,10356,NA,Reg,716,253,969,GasA,Y,SBrkr,5,NA,0,2007,122000
152,20,RL,107,13891,NA,Reg,1400,310,1710,GasA,Y,SBrkr,6,Gd,0,2008,372402
153,60,RL,NA,14803,NA,IR1,416,409,825,GasA,Y,SBrkr,8,Gd,0,2006,190000
154,20,RL,NA,13500,NA,Reg,429,93,1602,GasA,Y,SBrkr,4,Gd,0,2008,235000
155,30,RM,84,11340,NA,Reg,0,1200,1200,GasA,Y,FuseA,7,NA,0,2006,125000
156,50,RL,60,9600,NA,Reg,0,572,572,Grav,N,FuseF,5,NA,0,2008,79000
157,20,RL,60,7200,NA,Reg,0,0,0,GasA,Y,FuseF,5,NA,0,2006,109500
158,60,RL,92,12003,NA,Reg,0,774,774,GasA,Y,SBrkr,8,Gd,0,2010,269500
159,60,FV,100,12552,NA,Reg,222,769,991,GasA,Y,SBrkr,8,Gd,0,2010,254900
160,60,RL,134,19378,NA,IR1,57,1335,1392,GasA,Y,SBrkr,9,Gd,0,2006,320000
161,20,RL,NA,11120,NA,IR1,660,572,1232,GasA,Y,SBrkr,6,NA,0,2008,162500
162,60,RL,110,13688,NA,IR1,1016,556,1572,GasA,Y,SBrkr,10,Gd,0,2008,412500
163,20,RL,95,12182,NA,Reg,1201,340,1541,GasA,Y,SBrkr,7,Gd,0,2010,220000
164,45,RL,55,5500,NA,Reg,0,882,882,GasA,Y,SBrkr,4,NA,0,2007,103200
165,40,RM,40,5400,Pave,Reg,370,779,1149,GasA,Y,FuseA,5,NA,0,2007,152000
166,190,RL,62,10106,NA,Reg,351,112,644,GasA,Y,SBrkr,6,NA,0,2008,127500
167,20,RL,NA,10708,NA,IR1,379,470,1617,GasA,Y,FuseA,7,Gd,142,2009,190000
168,60,RL,86,10562,NA,Reg,1288,294,1582,GasA,Y,SBrkr,8,Gd,0,2007,325624
169,60,RL,62,8244,NA,IR1,0,840,840,GasA,Y,SBrkr,7,Gd,0,2007,183500
170,20,RL,NA,16669,NA,IR1,0,1686,1686,GasA,Y,SBrkr,6,TA,0,2006,228000
171,50,RM,NA,12358,NA,IR1,360,360,720,GasA,Y,SBrkr,7,NA,0,2007,128500
172,20,RL,141,31770,NA,IR1,639,441,1080,GasA,Y,SBrkr,7,Gd,0,2010,215000
173,160,RL,44,5306,NA,IR1,495,354,1064,GasA,Y,SBrkr,5,TA,0,2006,239000
174,20,RL,80,10197,NA,IR1,288,700,1362,GasA,Y,SBrkr,6,TA,0,2008,163000
175,20,RL,47,12416,NA,IR1,1398,0,1606,GasA,Y,SBrkr,7,TA,0,2008,184000
176,20,RL,84,12615,NA,Reg,477,725,1202,GasA,Y,SBrkr,7,Gd,0,2007,243000
177,60,RL,97,10029,NA,IR1,831,320,1151,GasA,Y,SBrkr,8,TA,192,2007,211000
178,50,RL,NA,13650,NA,Reg,57,554,1052,GasA,Y,SBrkr,8,Gd,0,2006,172500
179,20,RL,63,17423,NA,IR1,1904,312,2216,GasA,Y,SBrkr,9,Gd,0,2009,501837
180,30,RM,60,8520,NA,Reg,0,968,968,GasA,Y,SBrkr,5,NA,0,2007,100000
181,160,FV,NA,2117,NA,Reg,436,320,756,GasA,Y,SBrkr,5,TA,0,2007,177000
182,70,RL,54,7588,NA,Reg,352,441,793,GasA,Y,SBrkr,9,Gd,0,2006,200100
183,20,RL,60,9060,NA,Reg,0,0,0,GasA,Y,SBrkr,7,Gd,0,2007,120000
184,50,RM,63,11426,NA,Reg,0,1362,1362,GasA,Y,SBrkr,6,NA,0,2008,200000
185,50,RL,92,7438,NA,IR1,0,504,504,GasA,Y,SBrkr,5,NA,0,2006,127000
186,75,RM,90,22950,NA,IR2,0,1107,1107,GasA,Y,SBrkr,12,TA,410,2006,475000
187,80,RL,NA,9947,NA,IR1,611,577,1188,GasA,Y,SBrkr,6,NA,0,2009,173000
188,50,RL,60,10410,NA,Reg,0,660,660,GasA,Y,SBrkr,8,NA,0,2009,135000
189,90,RL,64,7018,NA,Reg,1086,0,1086,GasA,Y,SBrkr,6,TA,0,2009,153337
190,120,RL,41,4923,NA,Reg,1153,440,1593,GasA,Y,SBrkr,5,Gd,224,2008,286000
191,70,RL,70,10570,NA,Reg,297,556,853,GasA,Y,SBrkr,10,TA,0,2007,315000
192,60,RL,NA,7472,NA,IR1,626,99,725,GasA,Y,SBrkr,7,NA,0,2007,184000
193,20,RL,68,9017,NA,IR1,560,871,1431,GasA,Y,SBrkr,6,NA,0,2009,192000
194,160,RM,24,2522,NA,Reg,0,970,970,GasA,Y,SBrkr,7,NA,0,2006,130000
195,20,RL,60,7180,NA,IR1,390,474,864,GasA,Y,SBrkr,5,NA,0,2008,127000
196,160,RL,24,2280,NA,Reg,566,289,855,GasA,Y,SBrkr,7,TA,0,2009,148500
197,20,RL,79,9416,NA,Reg,1126,600,1726,GasA,Y,SBrkr,8,Gd,266,2007,311872
198,75,RL,174,25419,NA,Reg,1036,140,1360,GasA,Y,SBrkr,8,Ex,0,2006,235000
199,75,RM,92,5520,NA,Reg,0,755,755,GasA,Y,SBrkr,8,NA,0,2009,104000
200,20,RL,76,9591,NA,Reg,1088,625,1713,GasA,Y,SBrkr,7,Gd,170,2009,274900
201,20,RM,80,8546,NA,Reg,0,1121,1121,GasA,Y,SBrkr,5,NA,0,2010,140000
202,20,RL,75,10125,NA,Reg,641,276,1196,GasA,Y,SBrkr,6,Fa,0,2008,171500
203,50,RL,50,7000,NA,Reg,617,0,617,GasA,Y,SBrkr,6,NA,0,2006,112000
204,120,RM,NA,4438,NA,Reg,662,186,848,GasA,Y,SBrkr,3,Gd,0,2008,149000
205,50,RM,50,3500,Grvl,Reg,312,408,720,GasA,Y,SBrkr,5,NA,0,2009,110000
206,20,RL,99,11851,NA,Reg,0,1424,1424,GasA,Y,SBrkr,5,NA,0,2009,180500
207,20,RL,40,13673,NA,IR1,0,1140,1140,GasA,Y,SBrkr,8,TA,0,2007,143900
208,20,RL,NA,12493,NA,IR1,419,375,1100,GasA,Y,SBrkr,6,Po,0,2008,141000
209,60,RL,NA,14364,NA,IR1,1065,92,1157,GasA,Y,SBrkr,7,Gd,154,2007,277000
210,20,RL,75,8250,NA,Reg,787,305,1092,GasA,Y,SBrkr,6,NA,0,2008,145000
211,30,RL,67,5604,NA,Reg,468,396,864,GasA,N,FuseA,5,NA,0,2008,98000
212,20,RL,83,10420,NA,Reg,36,1176,1212,GasA,Y,SBrkr,6,NA,0,2010,186000
213,60,FV,72,8640,NA,Reg,822,78,900,GasA,Y,SBrkr,7,TA,0,2009,252678
214,20,RL,43,13568,NA,IR2,716,274,990,GasA,Y,SBrkr,5,NA,0,2006,156000
215,60,RL,NA,10900,NA,IR1,378,311,689,GasA,Y,SBrkr,6,NA,0,2010,161750
216,20,RL,72,10011,NA,IR1,360,710,1070,GasA,Y,SBrkr,6,Fa,0,2006,134450
217,20,RL,65,8450,NA,Reg,946,490,1436,GasA,Y,SBrkr,8,NA,0,2008,210000
218,70,RM,57,9906,Grvl,Reg,0,686,686,GasA,N,SBrkr,8,NA,0,2006,107000
219,50,RL,NA,15660,NA,IR1,341,457,798,GasA,Y,SBrkr,8,TA,0,2008,311500
220,120,RL,43,3010,NA,Reg,16,1232,1248,GasA,Y,SBrkr,5,NA,0,2006,167240
221,20,RL,73,8990,NA,IR1,0,1498,1498,GasA,Y,SBrkr,5,NA,0,2006,204900
222,60,RL,NA,8068,NA,IR1,0,1010,1010,GasA,Y,SBrkr,8,TA,0,2009,200000
223,60,RL,85,11475,NA,Reg,550,163,713,GasA,Y,SBrkr,6,TA,0,2006,179900
224,20,RL,70,10500,NA,Reg,524,160,864,GasA,Y,SBrkr,4,NA,0,2009,97000
225,20,RL,103,13472,NA,Reg,56,2336,2392,GasA,Y,SBrkr,8,Ex,0,2009,386250
226,160,RM,21,1680,NA,Reg,0,630,630,GasA,Y,SBrkr,6,NA,0,2009,112000
227,60,RL,82,9950,NA,IR1,565,638,1203,GasA,Y,SBrkr,9,TA,0,2007,290000
228,160,RM,21,1869,NA,Reg,321,162,483,GasA,Y,SBrkr,5,NA,0,2008,106000
229,20,RL,70,8521,NA,Reg,842,70,912,GasA,Y,SBrkr,5,Fa,0,2010,125000
230,120,RL,43,3182,NA,Reg,16,1357,1373,GasA,Y,SBrkr,7,TA,0,2009,192500
231,20,RL,73,8760,NA,Reg,0,1194,1194,GasA,Y,SBrkr,6,NA,0,2010,148000
232,60,RL,174,15138,NA,IR1,689,773,1462,GasA,Y,SBrkr,9,TA,0,2009,403000
233,160,RM,21,1680,NA,Reg,0,483,483,GasA,Y,SBrkr,5,Po,0,2006,94500
234,20,RL,75,10650,NA,Reg,182,0,894,GasA,Y,SBrkr,5,NA,0,2010,128200
235,60,RL,NA,7851,NA,Reg,625,235,860,GasA,Y,SBrkr,8,TA,0,2010,216500
236,160,RM,21,1680,NA,Reg,358,125,483,GasA,Y,SBrkr,5,NA,0,2008,89500
237,20,RL,65,8773,NA,Reg,24,1390,1414,GasA,Y,SBrkr,6,NA,0,2010,185500
238,60,RL,NA,9453,NA,IR1,402,594,996,GasA,Y,SBrkr,7,NA,0,2010,194500
239,20,RL,93,12030,NA,Reg,0,1694,1694,GasA,Y,SBrkr,7,NA,0,2007,318000
240,50,RL,52,8741,NA,Reg,94,641,735,GasA,Y,FuseA,7,Gd,0,2010,113000
241,20,FV,75,9000,NA,Reg,1078,488,1566,GasA,Y,SBrkr,7,NA,0,2010,262500
242,30,RM,40,3880,NA,Reg,329,357,686,GasA,Y,SBrkr,4,NA,0,2007,110500
243,50,RM,63,5000,NA,Reg,0,540,540,GasA,N,FuseA,6,NA,0,2006,79000
244,160,RL,75,10762,NA,Reg,0,626,626,GasA,Y,SBrkr,6,TA,0,2009,120000
245,60,RL,NA,8880,NA,IR1,695,253,948,GasA,Y,SBrkr,8,Fa,0,2010,205000
246,20,RL,80,10400,NA,Reg,929,916,1845,GasA,Y,SBrkr,6,TA,0,2006,241500
247,190,RM,69,9142,Grvl,Reg,0,1020,1020,GasA,N,FuseP,9,NA,0,2006,137000
248,20,RL,75,11310,NA,Reg,0,1367,1367,GasA,Y,SBrkr,5,TA,0,2006,140000
249,60,RL,72,11317,NA,Reg,0,840,840,GasA,Y,SBrkr,8,NA,0,2007,180000
250,50,RL,NA,159000,NA,IR2,697,747,1444,GasA,Y,SBrkr,7,TA,0,2007,277000
251,30,RL,55,5350,NA,IR1,0,728,728,GasA,Y,SBrkr,6,NA,0,2010,76500
252,120,RM,44,4750,NA,IR1,1573,0,1573,GasA,Y,SBrkr,5,Gd,153,2007,235000
253,60,RL,65,8366,NA,IR1,0,798,798,GasA,Y,SBrkr,6,NA,0,2008,173000
254,80,RL,85,9350,NA,Reg,270,452,1302,GasA,Y,SBrkr,7,NA,0,2007,158000
255,20,RL,70,8400,NA,Reg,922,392,1314,GasA,Y,SBrkr,5,NA,0,2010,145000
256,60,RL,66,8738,NA,IR1,0,975,975,GasA,Y,SBrkr,8,TA,0,2006,230000
257,60,FV,64,8791,NA,IR1,503,361,864,GasA,Y,SBrkr,7,NA,0,2008,207500
258,20,RL,68,8814,NA,Reg,1334,270,1604,GasA,Y,SBrkr,8,Gd,0,2009,220000
259,60,RL,80,12435,NA,Reg,361,602,963,GasA,Y,SBrkr,7,TA,0,2008,231500
260,20,RM,70,12702,NA,Reg,0,0,0,GasA,Y,FuseA,4,NA,0,2008,97000
261,80,RL,120,19296,NA,Reg,672,0,1362,GasA,Y,SBrkr,6,TA,0,2009,176000
262,60,RL,69,9588,NA,IR1,0,1482,1482,GasA,Y,SBrkr,10,Gd,0,2007,276000
263,80,RL,88,8471,NA,IR1,506,0,506,GasA,Y,SBrkr,6,TA,0,2006,151000
